input,chain_of_thought,output
What is 928 × 695?,Multiplying 928 by 695 results in...,644960
What is 928 ÷ 695?,Dividing 928 by 695 gives...,1.34
If I have 11 apples and get 6 more...,11 apples + 6 apples = total...,17 apples
"Find the next number in the sequence: [10, 8, 9, 32]","The pattern increases by -2, so the next number is...",28
A car moves at 108 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 108 × 1 =,108 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 901 + 152?,Adding 901 to 152 gives...,1053
What is 901 - 152?,Subtracting 152 from 901 leaves...,749
What is 901 × 152?,Multiplying 901 by 152 results in...,136952
What is 901 ÷ 152?,Dividing 901 by 152 gives...,5.93
If I have 6 apples and get 10 more...,6 apples + 10 apples = total...,16 apples
"Find the next number in the sequence: [8, 4, 6, 8]","The pattern increases by -4, so the next number is...",46
A car moves at 71 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 71 × 1 =,71 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 992 + 472?,Adding 992 to 472 gives...,1464
What is 992 - 472?,Subtracting 472 from 992 leaves...,520
What is 992 × 472?,Multiplying 992 by 472 results in...,468224
What is 992 ÷ 472?,Dividing 992 by 472 gives...,2.1
If I have 10 apples and get 3 more...,10 apples + 3 apples = total...,13 apples
"Find the next number in the sequence: [6, 18, 24, 28]","The pattern increases by 12, so the next number is...",57
A car moves at 88 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 88 × 2 =,176 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 890 + 923?,Adding 890 to 923 gives...,1813
What is 890 - 923?,Subtracting 923 from 890 leaves...,-33
What is 890 × 923?,Multiplying 890 by 923 results in...,821470
What is 890 ÷ 923?,Dividing 890 by 923 gives...,0.96
If I have 13 apples and get 9 more...,13 apples + 9 apples = total...,22 apples
"Find the next number in the sequence: [7, 2, 18, 12]","The pattern increases by -5, so the next number is...",40
A car moves at 52 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 52 × 5 =,260 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 434 + 533?,Adding 434 to 533 gives...,967
What is 434 - 533?,Subtracting 533 from 434 leaves...,-99
What is 434 × 533?,Multiplying 434 by 533 results in...,231322
What is 434 ÷ 533?,Dividing 434 by 533 gives...,0.81
If I have 4 apples and get 3 more...,4 apples + 3 apples = total...,7 apples
"Find the next number in the sequence: [1, 20, 6, 4]","The pattern increases by 19, so the next number is...",49
A car moves at 44 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 44 × 2 =,88 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 901 + 309?,Adding 901 to 309 gives...,1210
What is 901 - 309?,Subtracting 309 from 901 leaves...,592
What is 901 × 309?,Multiplying 901 by 309 results in...,278409
What is 901 ÷ 309?,Dividing 901 by 309 gives...,2.92
If I have 3 apples and get 9 more...,3 apples + 9 apples = total...,12 apples
"Find the next number in the sequence: [3, 14, 27, 36]","The pattern increases by 11, so the next number is...",26
A car moves at 36 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 36 × 1 =,36 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 387 + 160?,Adding 387 to 160 gives...,547
What is 387 - 160?,Subtracting 160 from 387 leaves...,227
What is 387 × 160?,Multiplying 387 by 160 results in...,61920
What is 387 ÷ 160?,Dividing 387 by 160 gives...,2.42
If I have 9 apples and get 3 more...,9 apples + 3 apples = total...,12 apples
"Find the next number in the sequence: [8, 8, 9, 16]","The pattern increases by 0, so the next number is...",5
A car moves at 49 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 49 × 4 =,196 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 982 + 868?,Adding 982 to 868 gives...,1850
What is 982 - 868?,Subtracting 868 from 982 leaves...,114
What is 982 × 868?,Multiplying 982 by 868 results in...,852376
What is 982 ÷ 868?,Dividing 982 by 868 gives...,1.13
If I have 3 apples and get 7 more...,3 apples + 7 apples = total...,10 apples
"Find the next number in the sequence: [6, 8, 6, 4]","The pattern increases by 2, so the next number is...",47
A car moves at 94 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 94 × 4 =,376 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 385 + 691?,Adding 385 to 691 gives...,1076
What is 385 - 691?,Subtracting 691 from 385 leaves...,-306
What is 385 × 691?,Multiplying 385 by 691 results in...,266035
What is 385 ÷ 691?,Dividing 385 by 691 gives...,0.56
If I have 1 apples and get 10 more...,1 apples + 10 apples = total...,11 apples
"Find the next number in the sequence: [10, 6, 3, 20]","The pattern increases by -4, so the next number is...",21
A car moves at 35 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 35 × 4 =,140 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 507 + 461?,Adding 507 to 461 gives...,968
What is 507 - 461?,Subtracting 461 from 507 leaves...,46
What is 507 × 461?,Multiplying 507 by 461 results in...,233727
What is 507 ÷ 461?,Dividing 507 by 461 gives...,1.1
If I have 4 apples and get 7 more...,4 apples + 7 apples = total...,11 apples
"Find the next number in the sequence: [2, 16, 3, 16]","The pattern increases by 14, so the next number is...",64
A car moves at 99 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 99 × 3 =,297 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 928 + 869?,Adding 928 to 869 gives...,1797
What is 928 - 869?,Subtracting 869 from 928 leaves...,59
What is 928 × 869?,Multiplying 928 by 869 results in...,806432
What is 928 ÷ 869?,Dividing 928 by 869 gives...,1.07
If I have 10 apples and get 7 more...,10 apples + 7 apples = total...,17 apples
"Find the next number in the sequence: [7, 10, 21, 4]","The pattern increases by 3, so the next number is...",13
A car moves at 114 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 114 × 2 =,228 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 66 + 937?,Adding 66 to 937 gives...,1003
What is 66 - 937?,Subtracting 937 from 66 leaves...,-871
What is 66 × 937?,Multiplying 66 by 937 results in...,61842
What is 66 ÷ 937?,Dividing 66 by 937 gives...,0.07
If I have 2 apples and get 7 more...,2 apples + 7 apples = total...,9 apples
"Find the next number in the sequence: [3, 12, 9, 20]","The pattern increases by 9, so the next number is...",19
A car moves at 73 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 73 × 4 =,292 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 675 + 933?,Adding 675 to 933 gives...,1608
What is 675 - 933?,Subtracting 933 from 675 leaves...,-258
What is 675 × 933?,Multiplying 675 by 933 results in...,629775
What is 675 ÷ 933?,Dividing 675 by 933 gives...,0.72
If I have 6 apples and get 9 more...,6 apples + 9 apples = total...,15 apples
"Find the next number in the sequence: [8, 18, 21, 16]","The pattern increases by 10, so the next number is...",55
A car moves at 82 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 82 × 4 =,328 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 333 + 250?,Adding 333 to 250 gives...,583
What is 333 - 250?,Subtracting 250 from 333 leaves...,83
What is 333 × 250?,Multiplying 333 by 250 results in...,83250
What is 333 ÷ 250?,Dividing 333 by 250 gives...,1.33
If I have 14 apples and get 8 more...,14 apples + 8 apples = total...,22 apples
"Find the next number in the sequence: [10, 2, 24, 16]","The pattern increases by -8, so the next number is...",27
A car moves at 66 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 66 × 3 =,198 km
What is the capital of France?,The capital city of France is...,Paris
What is 311 + 708?,Adding 311 to 708 gives...,1019
What is 311 - 708?,Subtracting 708 from 311 leaves...,-397
What is 311 × 708?,Multiplying 311 by 708 results in...,220188
What is 311 ÷ 708?,Dividing 311 by 708 gives...,0.44
If I have 1 apples and get 4 more...,1 apples + 4 apples = total...,5 apples
"Find the next number in the sequence: [8, 4, 21, 32]","The pattern increases by -4, so the next number is...",36
A car moves at 73 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 73 × 3 =,219 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 528 + 92?,Adding 528 to 92 gives...,620
What is 528 - 92?,Subtracting 92 from 528 leaves...,436
What is 528 × 92?,Multiplying 528 by 92 results in...,48576
What is 528 ÷ 92?,Dividing 528 by 92 gives...,5.74
If I have 2 apples and get 10 more...,2 apples + 10 apples = total...,12 apples
"Find the next number in the sequence: [8, 14, 9, 20]","The pattern increases by 6, so the next number is...",36
A car moves at 43 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 43 × 5 =,215 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 265 + 593?,Adding 265 to 593 gives...,858
What is 265 - 593?,Subtracting 593 from 265 leaves...,-328
What is 265 × 593?,Multiplying 265 by 593 results in...,157145
What is 265 ÷ 593?,Dividing 265 by 593 gives...,0.45
If I have 5 apples and get 7 more...,5 apples + 7 apples = total...,12 apples
"Find the next number in the sequence: [9, 2, 12, 16]","The pattern increases by -7, so the next number is...",-2
A car moves at 36 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 36 × 3 =,108 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 235 + 876?,Adding 235 to 876 gives...,1111
What is 235 - 876?,Subtracting 876 from 235 leaves...,-641
What is 235 × 876?,Multiplying 235 by 876 results in...,205860
What is 235 ÷ 876?,Dividing 235 by 876 gives...,0.27
If I have 1 apples and get 1 more...,1 apples + 1 apples = total...,2 apples
"Find the next number in the sequence: [7, 16, 27, 32]","The pattern increases by 9, so the next number is...",44
A car moves at 48 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 48 × 1 =,48 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 65 + 94?,Adding 65 to 94 gives...,159
What is 65 - 94?,Subtracting 94 from 65 leaves...,-29
What is 65 × 94?,Multiplying 65 by 94 results in...,6110
What is 65 ÷ 94?,Dividing 65 by 94 gives...,0.69
If I have 5 apples and get 7 more...,5 apples + 7 apples = total...,12 apples
"Find the next number in the sequence: [8, 10, 18, 36]","The pattern increases by 2, so the next number is...",37
A car moves at 103 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 103 × 3 =,309 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 233 + 528?,Adding 233 to 528 gives...,761
What is 233 - 528?,Subtracting 528 from 233 leaves...,-295
What is 233 × 528?,Multiplying 233 by 528 results in...,123024
What is 233 ÷ 528?,Dividing 233 by 528 gives...,0.44
If I have 2 apples and get 7 more...,2 apples + 7 apples = total...,9 apples
"Find the next number in the sequence: [10, 8, 12, 20]","The pattern increases by -2, so the next number is...",43
A car moves at 61 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 61 × 4 =,244 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 206 + 534?,Adding 206 to 534 gives...,740
What is 206 - 534?,Subtracting 534 from 206 leaves...,-328
What is 206 × 534?,Multiplying 206 by 534 results in...,110004
What is 206 ÷ 534?,Dividing 206 by 534 gives...,0.39
If I have 2 apples and get 1 more...,2 apples + 1 apples = total...,3 apples
"Find the next number in the sequence: [3, 14, 18, 40]","The pattern increases by 11, so the next number is...",46
A car moves at 115 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 115 × 4 =,460 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 820 + 722?,Adding 820 to 722 gives...,1542
What is 820 - 722?,Subtracting 722 from 820 leaves...,98
What is 820 × 722?,Multiplying 820 by 722 results in...,592040
What is 820 ÷ 722?,Dividing 820 by 722 gives...,1.14
If I have 2 apples and get 4 more...,2 apples + 4 apples = total...,6 apples
"Find the next number in the sequence: [3, 20, 27, 28]","The pattern increases by 17, so the next number is...",57
A car moves at 75 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 75 × 4 =,300 km
What is the capital of France?,The capital city of France is...,Paris
What is 875 + 404?,Adding 875 to 404 gives...,1279
What is 875 - 404?,Subtracting 404 from 875 leaves...,471
What is 875 × 404?,Multiplying 875 by 404 results in...,353500
What is 875 ÷ 404?,Dividing 875 by 404 gives...,2.17
If I have 5 apples and get 10 more...,5 apples + 10 apples = total...,15 apples
"Find the next number in the sequence: [6, 14, 21, 28]","The pattern increases by 8, so the next number is...",38
A car moves at 70 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 70 × 3 =,210 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 315 + 890?,Adding 315 to 890 gives...,1205
What is 315 - 890?,Subtracting 890 from 315 leaves...,-575
What is 315 × 890?,Multiplying 315 by 890 results in...,280350
What is 315 ÷ 890?,Dividing 315 by 890 gives...,0.35
If I have 4 apples and get 3 more...,4 apples + 3 apples = total...,7 apples
"Find the next number in the sequence: [9, 14, 24, 12]","The pattern increases by 5, so the next number is...",35
A car moves at 34 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 34 × 5 =,170 km
What is the capital of France?,The capital city of France is...,Paris
What is 344 + 759?,Adding 344 to 759 gives...,1103
What is 344 - 759?,Subtracting 759 from 344 leaves...,-415
What is 344 × 759?,Multiplying 344 by 759 results in...,261096
What is 344 ÷ 759?,Dividing 344 by 759 gives...,0.45
If I have 6 apples and get 9 more...,6 apples + 9 apples = total...,15 apples
"Find the next number in the sequence: [8, 20, 24, 16]","The pattern increases by 12, so the next number is...",32
A car moves at 30 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 30 × 2 =,60 km
What is the capital of France?,The capital city of France is...,Paris
What is 16 + 430?,Adding 16 to 430 gives...,446
What is 16 - 430?,Subtracting 430 from 16 leaves...,-414
What is 16 × 430?,Multiplying 16 by 430 results in...,6880
What is 16 ÷ 430?,Dividing 16 by 430 gives...,0.04
If I have 14 apples and get 6 more...,14 apples + 6 apples = total...,20 apples
"Find the next number in the sequence: [7, 18, 9, 4]","The pattern increases by 11, so the next number is...",56
A car moves at 59 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 59 × 2 =,118 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 738 + 678?,Adding 738 to 678 gives...,1416
What is 738 - 678?,Subtracting 678 from 738 leaves...,60
What is 738 × 678?,Multiplying 738 by 678 results in...,500364
What is 738 ÷ 678?,Dividing 738 by 678 gives...,1.09
If I have 12 apples and get 3 more...,12 apples + 3 apples = total...,15 apples
"Find the next number in the sequence: [9, 14, 30, 24]","The pattern increases by 5, so the next number is...",35
A car moves at 55 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 55 × 1 =,55 km
What is the capital of France?,The capital city of France is...,Paris
What is 615 + 878?,Adding 615 to 878 gives...,1493
What is 615 - 878?,Subtracting 878 from 615 leaves...,-263
What is 615 × 878?,Multiplying 615 by 878 results in...,539970
What is 615 ÷ 878?,Dividing 615 by 878 gives...,0.7
If I have 16 apples and get 6 more...,16 apples + 6 apples = total...,22 apples
"Find the next number in the sequence: [4, 4, 3, 24]","The pattern increases by 0, so the next number is...",45
A car moves at 103 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 103 × 3 =,309 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 419 + 477?,Adding 419 to 477 gives...,896
What is 419 - 477?,Subtracting 477 from 419 leaves...,-58
What is 419 × 477?,Multiplying 419 by 477 results in...,199863
What is 419 ÷ 477?,Dividing 419 by 477 gives...,0.88
If I have 9 apples and get 9 more...,9 apples + 9 apples = total...,18 apples
"Find the next number in the sequence: [6, 16, 12, 20]","The pattern increases by 10, so the next number is...",35
A car moves at 30 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 30 × 5 =,150 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 624 + 809?,Adding 624 to 809 gives...,1433
What is 624 - 809?,Subtracting 809 from 624 leaves...,-185
What is 624 × 809?,Multiplying 624 by 809 results in...,504816
What is 624 ÷ 809?,Dividing 624 by 809 gives...,0.77
If I have 6 apples and get 2 more...,6 apples + 2 apples = total...,8 apples
"Find the next number in the sequence: [9, 10, 27, 32]","The pattern increases by 1, so the next number is...",36
A car moves at 83 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 83 × 4 =,332 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 583 + 926?,Adding 583 to 926 gives...,1509
What is 583 - 926?,Subtracting 926 from 583 leaves...,-343
What is 583 × 926?,Multiplying 583 by 926 results in...,539858
What is 583 ÷ 926?,Dividing 583 by 926 gives...,0.63
If I have 14 apples and get 4 more...,14 apples + 4 apples = total...,18 apples
"Find the next number in the sequence: [7, 18, 27, 32]","The pattern increases by 11, so the next number is...",16
A car moves at 102 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 102 × 2 =,204 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 665 + 378?,Adding 665 to 378 gives...,1043
What is 665 - 378?,Subtracting 378 from 665 leaves...,287
What is 665 × 378?,Multiplying 665 by 378 results in...,251370
What is 665 ÷ 378?,Dividing 665 by 378 gives...,1.76
If I have 4 apples and get 9 more...,4 apples + 9 apples = total...,13 apples
"Find the next number in the sequence: [6, 14, 15, 24]","The pattern increases by 8, so the next number is...",58
A car moves at 104 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 104 × 5 =,520 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 85 + 146?,Adding 85 to 146 gives...,231
What is 85 - 146?,Subtracting 146 from 85 leaves...,-61
What is 85 × 146?,Multiplying 85 by 146 results in...,12410
What is 85 ÷ 146?,Dividing 85 by 146 gives...,0.58
If I have 8 apples and get 5 more...,8 apples + 5 apples = total...,13 apples
"Find the next number in the sequence: [3, 20, 21, 4]","The pattern increases by 17, so the next number is...",32
A car moves at 102 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 102 × 4 =,408 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 409 + 123?,Adding 409 to 123 gives...,532
What is 409 - 123?,Subtracting 123 from 409 leaves...,286
What is 409 × 123?,Multiplying 409 by 123 results in...,50307
What is 409 ÷ 123?,Dividing 409 by 123 gives...,3.33
If I have 7 apples and get 1 more...,7 apples + 1 apples = total...,8 apples
"Find the next number in the sequence: [3, 20, 24, 16]","The pattern increases by 17, so the next number is...",57
A car moves at 70 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 70 × 2 =,140 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 433 + 459?,Adding 433 to 459 gives...,892
What is 433 - 459?,Subtracting 459 from 433 leaves...,-26
What is 433 × 459?,Multiplying 433 by 459 results in...,198747
What is 433 ÷ 459?,Dividing 433 by 459 gives...,0.94
If I have 11 apples and get 4 more...,11 apples + 4 apples = total...,15 apples
"Find the next number in the sequence: [8, 8, 3, 4]","The pattern increases by 0, so the next number is...",15
A car moves at 45 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 45 × 4 =,180 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 307 + 91?,Adding 307 to 91 gives...,398
What is 307 - 91?,Subtracting 91 from 307 leaves...,216
What is 307 × 91?,Multiplying 307 by 91 results in...,27937
What is 307 ÷ 91?,Dividing 307 by 91 gives...,3.37
If I have 6 apples and get 1 more...,6 apples + 1 apples = total...,7 apples
"Find the next number in the sequence: [2, 12, 6, 32]","The pattern increases by 10, so the next number is...",25
A car moves at 51 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 51 × 5 =,255 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 637 + 143?,Adding 637 to 143 gives...,780
What is 637 - 143?,Subtracting 143 from 637 leaves...,494
What is 637 × 143?,Multiplying 637 by 143 results in...,91091
What is 637 ÷ 143?,Dividing 637 by 143 gives...,4.45
If I have 12 apples and get 8 more...,12 apples + 8 apples = total...,20 apples
"Find the next number in the sequence: [5, 4, 27, 32]","The pattern increases by -1, so the next number is...",29
A car moves at 75 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 75 × 2 =,150 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 462 + 589?,Adding 462 to 589 gives...,1051
What is 462 - 589?,Subtracting 589 from 462 leaves...,-127
What is 462 × 589?,Multiplying 462 by 589 results in...,272118
What is 462 ÷ 589?,Dividing 462 by 589 gives...,0.78
If I have 12 apples and get 5 more...,12 apples + 5 apples = total...,17 apples
"Find the next number in the sequence: [8, 4, 30, 36]","The pattern increases by -4, so the next number is...",26
A car moves at 49 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 49 × 3 =,147 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 934 + 90?,Adding 934 to 90 gives...,1024
What is 934 - 90?,Subtracting 90 from 934 leaves...,844
What is 934 × 90?,Multiplying 934 by 90 results in...,84060
What is 934 ÷ 90?,Dividing 934 by 90 gives...,10.38
If I have 14 apples and get 3 more...,14 apples + 3 apples = total...,17 apples
"Find the next number in the sequence: [5, 6, 6, 12]","The pattern increases by 1, so the next number is...",21
A car moves at 113 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 113 × 2 =,226 km
What is the capital of France?,The capital city of France is...,Paris
What is 313 + 289?,Adding 313 to 289 gives...,602
What is 313 - 289?,Subtracting 289 from 313 leaves...,24
What is 313 × 289?,Multiplying 313 by 289 results in...,90457
What is 313 ÷ 289?,Dividing 313 by 289 gives...,1.08
If I have 7 apples and get 3 more...,7 apples + 3 apples = total...,10 apples
"Find the next number in the sequence: [10, 18, 6, 12]","The pattern increases by 8, so the next number is...",38
A car moves at 40 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 40 × 3 =,120 km
What is the capital of France?,The capital city of France is...,Paris
What is 663 + 385?,Adding 663 to 385 gives...,1048
What is 663 - 385?,Subtracting 385 from 663 leaves...,278
What is 663 × 385?,Multiplying 663 by 385 results in...,255255
What is 663 ÷ 385?,Dividing 663 by 385 gives...,1.72
If I have 4 apples and get 8 more...,4 apples + 8 apples = total...,12 apples
"Find the next number in the sequence: [6, 18, 24, 8]","The pattern increases by 12, so the next number is...",52
A car moves at 64 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 64 × 4 =,256 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 324 + 502?,Adding 324 to 502 gives...,826
What is 324 - 502?,Subtracting 502 from 324 leaves...,-178
What is 324 × 502?,Multiplying 324 by 502 results in...,162648
What is 324 ÷ 502?,Dividing 324 by 502 gives...,0.65
If I have 7 apples and get 3 more...,7 apples + 3 apples = total...,10 apples
"Find the next number in the sequence: [3, 14, 21, 24]","The pattern increases by 11, so the next number is...",36
A car moves at 89 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 89 × 1 =,89 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 493 + 202?,Adding 493 to 202 gives...,695
What is 493 - 202?,Subtracting 202 from 493 leaves...,291
What is 493 × 202?,Multiplying 493 by 202 results in...,99586
What is 493 ÷ 202?,Dividing 493 by 202 gives...,2.44
If I have 15 apples and get 1 more...,15 apples + 1 apples = total...,16 apples
"Find the next number in the sequence: [7, 8, 6, 24]","The pattern increases by 1, so the next number is...",11
A car moves at 68 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 68 × 4 =,272 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 674 + 513?,Adding 674 to 513 gives...,1187
What is 674 - 513?,Subtracting 513 from 674 leaves...,161
What is 674 × 513?,Multiplying 674 by 513 results in...,345762
What is 674 ÷ 513?,Dividing 674 by 513 gives...,1.31
If I have 17 apples and get 2 more...,17 apples + 2 apples = total...,19 apples
"Find the next number in the sequence: [4, 18, 9, 40]","The pattern increases by 14, so the next number is...",59
A car moves at 42 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 42 × 4 =,168 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 501 + 348?,Adding 501 to 348 gives...,849
What is 501 - 348?,Subtracting 348 from 501 leaves...,153
What is 501 × 348?,Multiplying 501 by 348 results in...,174348
What is 501 ÷ 348?,Dividing 501 by 348 gives...,1.44
If I have 10 apples and get 2 more...,10 apples + 2 apples = total...,12 apples
"Find the next number in the sequence: [8, 18, 15, 36]","The pattern increases by 10, so the next number is...",55
A car moves at 78 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 78 × 3 =,234 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 211 + 1000?,Adding 211 to 1000 gives...,1211
What is 211 - 1000?,Subtracting 1000 from 211 leaves...,-789
What is 211 × 1000?,Multiplying 211 by 1000 results in...,211000
What is 211 ÷ 1000?,Dividing 211 by 1000 gives...,0.21
If I have 8 apples and get 2 more...,8 apples + 2 apples = total...,10 apples
"Find the next number in the sequence: [10, 10, 6, 12]","The pattern increases by 0, so the next number is...",40
A car moves at 50 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 50 × 4 =,200 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 407 + 885?,Adding 407 to 885 gives...,1292
What is 407 - 885?,Subtracting 885 from 407 leaves...,-478
What is 407 × 885?,Multiplying 407 by 885 results in...,360195
What is 407 ÷ 885?,Dividing 407 by 885 gives...,0.46
If I have 12 apples and get 9 more...,12 apples + 9 apples = total...,21 apples
"Find the next number in the sequence: [2, 14, 21, 4]","The pattern increases by 12, so the next number is...",62
A car moves at 95 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 95 × 3 =,285 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 296 + 486?,Adding 296 to 486 gives...,782
What is 296 - 486?,Subtracting 486 from 296 leaves...,-190
What is 296 × 486?,Multiplying 296 by 486 results in...,143856
What is 296 ÷ 486?,Dividing 296 by 486 gives...,0.61
If I have 11 apples and get 10 more...,11 apples + 10 apples = total...,21 apples
"Find the next number in the sequence: [8, 16, 3, 20]","The pattern increases by 8, so the next number is...",43
A car moves at 90 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 90 × 4 =,360 km
What is the capital of France?,The capital city of France is...,Paris
What is 942 + 47?,Adding 942 to 47 gives...,989
What is 942 - 47?,Subtracting 47 from 942 leaves...,895
What is 942 × 47?,Multiplying 942 by 47 results in...,44274
What is 942 ÷ 47?,Dividing 942 by 47 gives...,20.04
If I have 1 apples and get 7 more...,1 apples + 7 apples = total...,8 apples
"Find the next number in the sequence: [4, 2, 12, 32]","The pattern increases by -2, so the next number is...",8
A car moves at 100 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 100 × 1 =,100 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 552 + 969?,Adding 552 to 969 gives...,1521
What is 552 - 969?,Subtracting 969 from 552 leaves...,-417
What is 552 × 969?,Multiplying 552 by 969 results in...,534888
What is 552 ÷ 969?,Dividing 552 by 969 gives...,0.57
If I have 13 apples and get 3 more...,13 apples + 3 apples = total...,16 apples
"Find the next number in the sequence: [7, 2, 27, 4]","The pattern increases by -5, so the next number is...",0
A car moves at 117 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 117 × 5 =,585 km
What is the capital of France?,The capital city of France is...,Paris
What is 403 + 819?,Adding 403 to 819 gives...,1222
What is 403 - 819?,Subtracting 819 from 403 leaves...,-416
What is 403 × 819?,Multiplying 403 by 819 results in...,330057
What is 403 ÷ 819?,Dividing 403 by 819 gives...,0.49
If I have 5 apples and get 6 more...,5 apples + 6 apples = total...,11 apples
"Find the next number in the sequence: [10, 2, 21, 4]","The pattern increases by -8, so the next number is...",27
A car moves at 81 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 81 × 5 =,405 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 369 + 5?,Adding 369 to 5 gives...,374
What is 369 - 5?,Subtracting 5 from 369 leaves...,364
What is 369 × 5?,Multiplying 369 by 5 results in...,1845
What is 369 ÷ 5?,Dividing 369 by 5 gives...,73.8
If I have 8 apples and get 6 more...,8 apples + 6 apples = total...,14 apples
